Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-09-17 01:27:16.936 -0400,"Success",0:03:35,0,0,0,"20250917_012716.936/LogFile.txt","","",4
2025-11-03 03:02:38.949 -0500,"Aborted",0:00:13,1,0,1,"20251103_030238.949/LogFile.txt","","",0
2025-11-03 03:26:03.827 -0500,"Aborted",0:02:42,1,0,1,"20251103_032603.827/LogFile.txt","","",3
2025-11-03 03:32:36.755 -0500,"Aborted",0:02:31,1,0,0,"20251103_033236.755/LogFile.txt","","",3
2025-11-04 01:41:41.087 -0500,"Failure",0:03:11,1,0,1,"20251104_014141.087/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Refund7500 img""",3
2025-11-04 02:11:55.334 -0500,"Aborted",0:03:20,1,0,1,"20251104_021155.334/LogFile.txt","","",3
2025-11-04 23:55:44.493 -0500,"Aborted",0:03:30,1,0,1,"20251104_235544.493/LogFile.txt","","",3
2025-11-05 00:16:39.002 -0500,"Aborted",0:01:36,1,0,1,"20251105_001639.002/LogFile.txt","","",3
2025-11-05 00:48:56.932 -0500,"Aborted",0:02:56,1,0,1,"20251105_004856.932/LogFile.txt","","",3
2025-11-05 00:55:13.642 -0500,"Aborted",0:01:40,1,0,1,"20251105_005513.642/LogFile.txt","","",3
2025-11-05 03:40:43.954 -0500,"Aborted",0:00:02,1,0,0,"20251105_034043.954/LogFile.txt","","",0
2025-11-05 05:20:41.754 -0500,"Success",0:03:40,0,0,0,"20251105_052041.754/LogFile.txt","","",5
2025-11-05 05:34:30.872 -0500,"Aborted",0:00:11,1,0,1,"20251105_053430.872/LogFile.txt","","",0
2025-11-05 05:34:53.179 -0500,"Success",0:03:45,0,0,0,"20251105_053453.179/LogFile.txt","","",5
2025-12-11 10:07:28.756 -0500,"Failure",0:00:02,1,0,1,"20251211_100728.756/LogFile.txt","","No Remote Connection -- typetext Error - Remote Connection Unavailable",0
2025-12-11 10:21:26.527 -0500,"Failure",0:01:04,1,0,1,"20251211_102126.527/LogFile.txt","","Image Not Found -- WaitFor Error - Unable To Find Any Image On Screen ""(TEXT:""KFL Store 1646555"")"" within 10.00 seconds. Text not found.",0
2025-12-11 10:23:12.526 -0500,"Failure",0:00:53,1,0,1,"20251211_102312.526/LogFile.txt","","Image Not Found -- WaitFor Error - Unable To Find Any Image On Screen ""(TEXT:""KFL Store 1646555"")"" within 10.00 seconds. Text not found.",0
2025-12-11 10:24:47.801 -0500,"Failure",0:00:52,1,0,1,"20251211_102447.801/LogFile.txt","","Image Not Found -- WaitFor Error - Unable To Find Any Image On Screen ""(TEXT:""No orders require attention"")"" within 10.00 seconds. Text not found.",0
2025-12-11 10:29:25.587 -0500,"Aborted",0:00:15,1,0,1,"20251211_102925.587/LogFile.txt","","",0
2025-12-11 11:14:30.261 -0500,"Failure",0:00:45,2,0,0,"20251211_111430.261/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'exitwitherror'",0
2025-12-11 11:16:30.729 -0500,"Failure",0:00:43,2,0,0,"20251211_111630.729/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'exitwitherror'",0
2025-12-11 11:18:59.801 -0500,"Success",0:03:46,0,0,0,"20251211_111859.801/LogFile.txt","","",4
